fdate,cusip,fundno,shares
20101231,00507V10,4,125829
20101231,09775120,4,443958
20101231,58283910,4,30199
20101231,62913F20,4,34150
20101231,71654V40,4,40189
20101231,80685710,4,26369
20101231,85973720,4,107956
20101231,87425E10,4,58838
20101231,89594510,4,92137
20101231,91912E10,4,87071
20101231,92769L10,4,98348
20101231,N7248210,4,73561
20110331,02220510,4,25518
20110331,04518A10,4,60996
20110331,09775120,4,409601
20110331,58283910,4,27814
20110331,62913F20,4,31834
20110331,71654V40,4,51805
20110331,80685710,4,24315
20110331,85973720,4,100724
20110331,87425E10,4,54262
20110331,89594510,4,77638
20110331,91912E10,4,109711
20110331,92769L10,4,62784
20110630,02220510,4,24622
20110630,04518A10,4,129937
20110630,09775120,4,395962
20110630,46556210,4,128955
20110630,58283910,4,26859
20110630,62913F20,4,30739
20110630,71654V40,4,77129
20110630,80685710,4,23498
20110630,85973720,4,97345
20110630,87425E10,4,52433
20110630,89594510,4,75021
20110630,91912E10,4,105228
20110630,92769L10,4,60673
20110930,02220510,4,23737
20110930,46556210,4,163713
20110930,58283910,4,25347
20110930,62913F20,4,41673
20110930,68554N10,4,14646
20110930,71654V40,4,74361
20110930,80685710,4,30832
20110930,85973720,4,115489
20110930,89594510,4,72822
20110930,91912E10,4,118991
20110930,92769L10,4,58546
20111231,02220510,4,23488
20111231,46556210,4,162019
20111231,58283910,4,25084
20111231,62913F20,4,72317
20111231,66527870,4,3785412
20111231,68554N10,4,17576
20111231,71654V40,4,73592
20111231,80685710,4,30512
20111231,85973720,4,114296
20111231,89594510,4,72067
20111231,91912E10,4,117762
20111231,92769L10,4,57940
20101231,02364W10,8,814536
20101231,05965X10,8,282452
20101231,11258510,8,2142795
20101231,13637510,8,376100
20101231,13677F10,8,437232
20101231,37591610,8,531000
20101231,43691310,8,101101
20101231,69480U20,8,881856
20101231,80291210,8,477612
20101231,88162420,8,717227
20101231,88706M10,8,425416
20101231,91912E10,8,718991
20101231,G2519Y10,8,203697
20101231,G4566710,8,117167
20101231,P6287110,8,630155
20101231,P7914K10,8,258242
20110331,01626P40,8,641814
20110331,02364W10,8,799754
20110331,05965X10,8,201419
20110331,11258510,8,2103909
20110331,12549110,8,410054
20110331,13637510,8,368200
20110331,13677F10,8,426932
20110331,37591610,8,521400
20110331,43691310,8,99266
20110331,51925D10,8,122193
20110331,71673R10,8,253555
20110331,80291210,8,545875
20110331,88162420,8,701932
20110331,88706M10,8,527141
20110331,G2519Y10,8,247193
20110331,G4566710,8,420530
20110630,01626P40,8,853194
20110630,05965X10,8,189303
20110630,06628630,8,929116
20110630,11258510,8,1967019
20110630,12549110,8,626649
20110630,13677F10,8,404532
20110630,22576C10,8,412841
20110630,37591610,8,490000
20110630,43691310,8,92807
20110630,45823T10,8,289733
20110630,51925D10,8,126017
20110630,63306710,8,347573
20110630,71673R10,8,309190
20110630,71704610,8,575412
20110630,80291210,8,510358
20110630,88162420,8,659708
20110630,88706M10,8,492843
20110630,G2519Y10,8,231109
20110630,G4566710,8,396788
20110630,M2246510,8,367919
20110930,01626P40,8,727154
20110930,05965X10,8,160487
20110930,11258510,8,1813528
20110930,12549110,8,722797
20110930,13677F10,8,341004
20110930,15118Q10,8,141265
20110930,22576C10,8,344344
20110930,43691310,8,79861
20110930,45823T10,8,158121
20110930,51925D10,8,110237
20110930,63306710,8,296218
20110930,71704610,8,476070
20110930,80291210,8,493850
20110930,83363510,8,257608
20110930,88162420,8,559295
20110930,88706M10,8,526903
20110930,G2519Y10,8,196972
20110930,M2246510,8,311930
20110930,P3107610,8,91527
20111231,01626P40,8,688262
20111231,05965X10,8,190156
20111231,11258510,8,1454865
20111231,12549110,8,684140
20111231,13677F10,8,327304
20111231,15118Q10,8,134283
20111231,22576C10,8,325921
20111231,43691310,8,75778
20111231,45823T10,8,158121
20111231,71704610,8,584172
20111231,80291210,8,85677
20111231,83363510,8,245133
20111231,88706M10,8,432507
20111231,G2519Y10,8,186437
20111231,M2246510,8,295251
20111231,P3107610,8,86762
20101231,00194010,12,2006700
20101231,01152710,12,300000
20101231,01626P40,12,400000
20101231,03063Q10,12,1500000
20101231,03783310,12,15000
20101231,05337B10,12,750000
20101231,07556Q10,12,750000
20101231,08184N10,12,350000
20101231,09775120,12,1250000
20101231,11133T10,12,300000
20101231,12572Q10,12,20000
20101231,12640810,12,150000
20101231,13606910,12,150000
20101231,13637510,12,275000
20101231,13638510,12,650000
20101231,14042M10,12,300000
20101231,17245310,12,500033
20101231,17296710,12,3000000
20101231,17867720,12,300000
20101231,18287310,12,500000
20101231,21750U10,12,500000
20101231,22856P10,12,47200
20101231,23257A10,12,536600
20101231,23331A10,12,524170
20101231,26938810,12,1000000
20101231,26969P10,12,450002
20101231,28107P10,12,750000
20101231,29877410,12,301400
20101231,30230110,12,200000
20101231,30231G10,12,175000
20101231,30390110,12,50000
20101231,33593410,12,80000
20101231,33904110,12,125000
20101231,36955010,12,100000
20101231,37045V10,12,300000
20101231,37244E10,12,750000
20101231,37989R20,12,300000
20101231,38259P50,12,10000
20101231,38526M10,12,473626
20101231,39945310,12,1250000
20101231,39945C10,12,678300
20101231,40621610,12,300000
20101231,41805610,12,75000
20101231,43707610,12,250000
20101231,45823T10,12,100000
20101231,46579N10,12,350000
20101231,46625H10,12,750000
20101231,46981410,12,250000
20101231,50015Q10,12,500000
20101231,50025510,12,150000
20101231,52470150,12,750000
20101231,52610710,12,200000
20101231,54866110,12,250000
20101231,55623210,12,1500000
20101231,56501R10,12,2000000
20101231,58933Y10,12,300000
20101231,59001A10,12,200000
20101231,59151K10,12,350000
20101231,60290010,12,347600
20101231,61767T10,12,250000
20101231,61945A10,12,80000
20101231,65390510,12,40000
20101231,65548P40,12,444750
20101231,68616T10,12,300000
20101231,68633810,12,749967
20101231,69074210,12,250000
20101231,69806Y10,12,200500
20101231,71708110,12,350000
20101231,71915R10,12,160774
20101231,72303310,12,2266700
20101231,73755L10,12,100000
20101231,74326Y10,12,500000
20101231,74591510,12,448100
20101231,75101R10,12,400000
20101231,75234430,12,300000
20101231,76097510,12,325000
20101231,77510920,12,350000
20101231,82509W10,12,1300000
20101231,85472N10,12,201000
20101231,86722410,12,999972
20101231,87074U10,12,497920
20101231,87236Y10,12,300000
20101231,87377N20,12,500000
20101231,87425E10,12,1000000
20101231,89110210,12,150000
20101231,89116050,12,350000
20101231,89357810,12,500600
20101231,89594510,12,250000
20101231,89635610,12,1500000
20101231,90297330,12,600000
20101231,95805Y10,12,468600
20101231,96216610,12,1250000
20101231,96467A20,12,300000
20101231,G1625210,12,600000
20101231,M2246510,12,147105
20101231,P7914K10,12,200000
20110331,00194010,12,2034100
20110331,00766T10,12,550000
20110331,01626P40,12,400000
20110331,02463810,12,1444800
20110331,05380710,12,200000
20110331,06367110,12,550025
20110331,08184N10,12,399200
20110331,11133T10,12,400000
20110331,12572Q10,12,25000
20110331,13637510,12,500000
20110331,14042M10,12,303600
20110331,17245410,12,600033
20110331,23331A10,12,524170
20110331,26938810,12,2500000
20110331,26969P10,12,300002
20110331,30231G10,12,175000
20110331,30390110,12,50000
20110331,35185810,12,51900
20110331,36955010,12,100000
20110331,37244E10,12,750000
20110331,37591610,12,350000
20110331,38526M10,12,730965
20110331,39945C10,12,750000
20110331,40621610,12,125000
20110331,41805610,12,150000
20110331,43707610,12,250000
20110331,45715310,12,458130
20110331,46981410,12,150000
20110331,50025510,12,200000
20110331,52470150,12,900000
20110331,52610710,12,200000
20110331,54866110,12,250000
20110331,56090910,12,450000
20110331,59001A10,12,200000
20110331,59151K10,12,175000
20110331,61767W10,12,250000
20110331,65548P40,12,250050
20110331,67088Q10,12,500000
20110331,69074210,12,250000
20110331,69338U10,12,199974
20110331,71648X10,12,500000
20110331,71673R10,12,299973
20110331,71708110,12,1125000
20110331,72303310,12,2266700
